star,rating,discount,price,brand,storage,processor
4.4,19930,43% off,13914,Samsung Galaxy M35 5G,128 GB,Exynos
4.4,3757,52% off,20999,OPPO Reno 12 5G,256 GB,Mediatek
4.2,81498,20% off,15999,Motorola g64 5G,256 GB,Mediatek
4.3,2209,32% off,6767,Samsung M05,64 GB,Mediatek
4.5,9667,21% off,17999,OPPO K13 5G,128 GB,Snapdragon
4.4,8969,28% off,17999,Infinix Note 50s 5G,256 GB,Mediatek
4.3,8678,30% off,13999,REDMI 13 5G,128 GB,Snapdragon
4.1,4886,27% off,11199,Samsung Galaxy F06 5G,128 GB,Mediatek
4.3,11754,31% off,12999,POCO M7 Pro 5G,128 GB,Mediatek
4.1,15582,26% off,9499,POCO M7 5G,128 GB,Snapdragon
4.4,19930,44% off,13692,Samsung Galaxy M35 5G,128 GB,Exynos
4.2,81498,20% off,15999,Motorola g64 5G,256 GB,Mediatek
4.3,1851,23% off,12999,Infinix Note 50x 5G,128 GB,Mediatek
4.6,11530,10% off,24999,MOTOROLA Edge 60 Fusion 5G,256 GB,Mediatek
4.4,16294,25% off,8199,realme C61,128 GB,Unisoc
4.3,7052,23% off,11499,Infinix Note 50x 5G,128 GB,Mediatek
4.5,76795,21% off,24999,vivo T3 Pro 5G,256 GB,Snapdragon
4.1,105792,40% off,5399,POCO C61 -,64 GB,Mediatek
4.2,36322,31% off,12325,REDMI 13 5G,128 GB,Snapdragon
4.5,9667,20% off,19999,OPPO K13 5G,256 GB,Snapdragon
4.3,42370,15% off,10999,Motorola g45 5G,128 GB,Snapdragon
4.4,147852,25% off,20999,Motorola Edge 50 Fusion,256 GB,Snapdragon
4.3,4857,20% off,7149,realme Narzo N61,64 GB,Mediatek
4.4,414,21% off,13690,IQOO Z10X 5G,128 GB,Mediatek
4.3,7119,32% off,16999,POCO X7 5G,128 GB,Mediatek
4.2,2080,37% off,11300,IQOO Z9x,128 GB,Snapdragon
4.5,20500,21% off,10999,realme C63 5G,128 GB,Mediatek
4.3,166171,20% off,11999,Motorola g45 5G,128 GB,Snapdragon
4.4,2695,17% off,33999,MOTOROLA Edge 60 Pro,256 GB,Mediatek
4.5,1872,31% off,31999,realme GT 6,256 GB,Snapdragon
4.3,13002,41% off,19999,Samsung Galaxy A35 5G,128 GB,Exynos
4.3,56704,22% off,13999,Motorola g64 5G,128 GB,Mediatek
4.4,7078,10% off,24999,realme 14 Pro 5G,128 GB,Mediatek
4.3,11754,31% off,12999,POCO M7 Pro 5G,128 GB,Mediatek
4.1,15582,26% off,9499,POCO M7 5G,128 GB,Snapdragon
4.4,7125,17% off,18999,CMF by Nothing Phone 2 Pro,128 GB,Mediatek
4.5,151466,26% off,13999,vivo T3x 5G,128 GB,Snapdragon
4.3,8678,30% off,13999,REDMI 13 5G,128 GB,Snapdragon
4.2,810,25% off,7499,REDMI A5,128 GB,Unisoc
4.3,4857,15% off,7270,realme Narzo N61,64 GB,Mediatek
4.4,7125,17% off,18999,CMF by Nothing Phone 2 Pro,128 GB,Mediatek
4.4,16433,30% off,10499,Infinix Hot 50 5G,128 GB,Mediatek
4.3,5104,26% off,9499,Infinix Hot 50 5G,128 GB,Mediatek
4.2,1096,25% off,11999,Tecno Pova 6 Neo 5G,128 GB,Mediatek
4.1,2286,25% off,6699,Infinix SMART 9 HD,64 GB,Mediatek
4.2,2442,26% off,9499,REDMI 14C 5G,64 GB,Snapdragon
4.2,4684,35% off,12999,Infinix Note 40X 5G,256 GB,Mediatek
4.3,2084,42% off,15031,Samsung Galaxy M35 5G,128 GB,Exynos
4.2,2842,25% off,10499,POCO M7 5G,128 GB,Snapdragon
4.2,9770,33% off,11999,POCO M6 Plus 5G,128 GB,Snapdragon
4.6,11530,10% off,24999,MOTOROLA Edge 60 Fusion 5G,256 GB,Mediatek
4.4,4595,16% off,14999,realme P3x 5G,128 GB,Mediatek
4.4,6400,27% off,18758,IQOO Z9s 5G,128 GB,Mediatek
4.3,59361,21% off,8999,POCO C75 5G,128 GB,Snapdragon
4.5,19984,15% off,21999,vivo T4 5G,128 GB,Snapdragon
4.3,5104,26% off,9499,Infinix Hot 50 5G,128 GB,Mediatek
4.5,1676,8% off,33999,Nothing PhonePro,256 GB,Snapdragon
4.4,73784,21% off,17999,Motorola G85 5G,256 GB,Snapdragon
4.4,14697,30% off,17999,realme P2 Pro 5G,128 GB,Snapdragon
4.4,2695,17% off,33999,MOTOROLA Edge 60 Pro,256 GB,Mediatek
4.4,214,20% off,15075,IQOO Z10X 5G,128 GB,Mediatek
4.4,99236,25% off,11499,vivo T3 Lite 5G,128 GB,Mediatek
4.2,810,25% off,7499,REDMI A5,128 GB,Unisoc
4.2,2241,22% off,13499,Samsung Galaxy F16 5G,128 GB,Mediatek
4.2,2241,22% off,13499,Samsung Galaxy F16 5G,128 GB,Mediatek
4.3,5104,26% off,9499,Infinix Hot 50 5G,128 GB,Mediatek
4.3,7119,32% off,16999,POCO X7 5G,128 GB,Mediatek
4.4,20894,18% off,17099,OnePlus Nord CE4 lite 5G,128 GB,Qualcomm
4.5,493,17% off,42869,OnePlus 13R 5G,512 GB,Snapdragon
4.4,7125,16% off,20999,CMF by Nothing Phone 2 Pro,256 GB,Mediatek
4.3,13002,40% off,21999,Samsung Galaxy A35 5G,256 GB,Exynos
